X,Y,OBJECTID,FID_,Parcel_Num,Property_C,Property_S,Inventory,Zoned_As,Address1,County,City,Longitude,Latitude,Council_Di,Square_Foo,Business_I
-118.568864800247042,34.226840799665204,1031,0,2782014901,Not Classified,Owned,General Services,(T)RS-1,PENFIELD AVE/BRYANT ST,LOS ANGELES,WINNETKA,-118.5688648,34.2268408,3,1076.186249, 
-118.542521700048681,34.224987069271045,1032,0,2785010901,Not Classified,Owned,General Services,R1-1,GEYSER AVE/CHASE ST,LOS ANGELES,UNKNOWN,-118.5425217,34.22498707,12,644.5222628, 
-118.540469200541423,34.223867199855,1033,0,2785012901,Not Classified,Owned,General Services,RA-1,YOLANDA AVE/COMMUNITY ST,LOS ANGELES,UNKNOWN,-118.5404692,34.2238672,12,534.360751,None
-118.543143099764976,34.221127149805746,1034,0,2785014900,Not Classified,Owned,General Services,RA-1,ROSCOE BLVD/GEYSER AVE,LOS ANGELES,UNKNOWN,-118.5431431,34.22112715,12,676.2361498,None
-118.381610099821657,33.968814459882296,1035,0,4104017904,OPLA,Owned,General Services,MR1-1VL,LA TUHERA BLVD/78TH ST,LOS ANGELES,LOS ANGELES,-118.3816101,33.96881446,11,600.1796499, 
-118.380794800547903,33.969097490362387,1036,0,4104018902,OPLA,Owned,General Services,R1-1,LA TUHERA BLVD/79TH ST,Los Angeles,LOS ANGELES,-118.3807948,33.96909749,11,579.5685998,None
-118.389944200107138,33.963620280050293,1037,0,4107009904,OPLA,Owned,General Services,R1-1,83RD ST/AIRLANE AVE,Los Angeles,LOS ANGELES,-118.3899442,33.96362028,11,566.9360501,None
-118.396368999528192,33.965867000049428,1038,0,4108027900,OPLA,Owned,General Services,R1-1,SEPULVEDA BLVD/80TH ST,Los Angeles,LOS ANGELES,-118.396369,33.965867,11,1200.195701,None
-118.39936799995138,33.957400000179874,1039,0,4122003907,OPLA,Owned,General Services,R2-1,MANCHESTER AVE/SEPULVEDA WWAY,Los Angeles,LOS ANGELES,-118.399368,33.9574,11,1100.0011,None
-118.403096300332976,33.957384709767908,1040,0,4122013900,OPLA,Owned,General Services,R1-1,8763 LIBERATOR AVE,Los Angeles,LOS ANGELES,-118.4030963,33.95738471,11,1051.093281,None
-118.381800999904371,33.960050999855298,1041,0,4125006900,OPLA,Owned,General Services,R2-1,MANCHESTER AVE/WINSFORD AVE,Los Angeles,LOS ANGELES,-118.381801,33.960051,11,540.3269995, 
-118.414679000638287,33.991927999682595,1042,0,4221010900,OPLA,Owned,General Services,R1-1,BRADDOCK DR/LINDBLADE DR,Los Angeles,LOS ANGELES,-118.414679,33.991928,11,400.0810498, 
-118.446963099985041,33.987911009830093,1043,0,4229005901,OPLA,Owned,General Services,R1-1,3132 STANFORD AVE,Los Angeles,LOS ANGELES,-118.4469631,33.98791101,11,303.0818003,None
-118.456237999579372,33.991734999630523,1044,0,4237009900,OPLA,Owned,General Services,R3-1,ALLEY NO 182/WOODLAWN AVE,Los Angeles,LOS ANGELES,-118.456238,33.991735,11,56.58299995,None
-118.461965000264158,34.00446986062196,1045,0,4243024900,Not Classified,Owned,General Services,OS-1XL,ROSE AVE/COURTLAND ST,LOS ANGELES,UNKNOWN,-118.461965,34.00446986,11,344.2437217, 
-118.455322699848196,34.00685574023592,1046,0,4244003900,Not Classified,Owned,General Services,R1-1VLD,GLENAVON AVE/LAKE ST,LOS ANGELES,VENTURA,-118.4553227,34.00685574,11,468.0660487, 
-118.441429999756053,34.008779999574287,1047,0,4246005900,OPLA,Owned,General Services,R1-1,PALMS BLVD/WASATCH AVE,Los Angeles,LOS ANGELES,-118.44143,34.00878,11,490.48565, 
-118.445280899512639,34.008572490093094,1048,0,4247016901,Not Classified,Owned,General Services,R1-1,APPLETON WAY/MEIER ST,LOS ANGELES,UNKNOWN,-118.4452809,34.00857249,11,138.6274496,None
-118.444490099991597,34.011214909482668,1049,0,4247021900,Not Classified,Owned,General Services,R1-1,WADE ST/STEWART AVE,LOS ANGELES,UNKNOWN,-118.4444901,34.01121491,11,339.24635,None
-118.441814999720535,34.008838999721085,1050,0,4247029900,OPLA,Owned,General Services,R1-1,PALMS BLVD/STEWART AVE,Los Angeles,LOS ANGELES,-118.441815,34.008839,11,499.9853003,None
-118.440925000140965,34.01309100021313,1051,0,4247031900,OPLA,Owned,General Services,R1-1,CENTINELA AVE/WOODBINE ST,Los Angeles,LOS ANGELES,-118.440925,34.013091,11,499.6769996,None
-118.422585999616885,34.016180000072296,1052,0,4249032900,OPLA,Owned,General Services,R1-1,TABOR ST/SWATELL BLVD,Los Angeles,LOS ANGELES,-118.422586,34.01618,11,203.6014507, 
